idx,chain,chip,bit,blob_n,cx_pct,cy_pct,area
970,5,0,10,2,0.62,49.04,16
971,5,0,11,0,60.27,27.63,4644
971,5,0,11,1,0.62,48.72,20
972,5,0,12,0,60.27,27.6,4652
972,5,0,12,1,0.21,52.03,24
972,5,0,12,2,0.0,56.09,16
973,5,0,13,0,59.85,26.38,1100
973,5,0,13,1,0.94,48.4,32
973,5,0,13,2,0.16,55.13,32
974,5,0,14,0,60.89,26.69,1180
974,5,0,14,1,0.26,53.9,48
975,5,0,15,0,60.29,27.63,4728
975,5,0,15,1,0.23,53.9,44
975,5,0,15,2,0.94,50.32,16
976,5,1,0,0,52.91,27.07,2220
976,5,1,0,1,66.43,23.44,28
976,5,1,0,2,0.27,52.75,28
979,5,1,3,0,0.07,54.56,36
979,5,1,3,1,0.62,47.76,16
980,5,1,4,0,0.12,56.03,20
981,5,1,5,0,60.36,48.93,5424
981,5,1,5,1,0.16,52.56,16
981,5,1,5,2,0.0,56.09,16
982,5,1,6,0,60.21,48.5,1360
982,5,1,6,1,0.0,55.45,24
983,5,1,7,0,59.69,48.41,1236
983,5,1,7,1,0.0,54.17,32
984,5,1,8,0,59.87,48.15,1288
984,5,1,8,1,0.23,54.14,44
985,5,1,9,0,60.3,48.93,5420
986,5,1,10,0,60.3,48.96,5404
987,5,1,11,0,60.21,49.02,5300
987,5,1,11,1,0.0,53.85,20
988,5,1,12,0,59.47,48.96,4560
988,5,1,12,1,0.0,54.81,24
989,5,1,13,0,0.25,52.05,20
990,5,1,14,0,0.31,54.17,72
991,5,1,15,0,0.31,52.88,40
992,5,2,0,0,0.58,50.27,56
994,5,2,2,0,0.27,51.83,28
994,5,2,2,1,0.0,55.77,20
995,5,2,3,0,0.07,54.56,36
996,5,2,4,0,61.03,72.25,5528
996,5,2,4,1,0.62,49.87,60
997,5,2,5,0,60.33,72.43,1332
997,5,2,5,1,0.27,52.38,28
997,5,2,5,2,1.35,43.7,24
997,5,2,5,3,0.73,47.22,24
998,5,2,6,0,60.4,72.38,1328
998,5,2,6,1,0.94,49.04,24
999,5,2,7,0,60.88,72.56,1408
1000,5,2,8,0,60.57,72.39,5760
1000,5,2,8,1,0.1,55.77,24
1001,5,2,9,0,0.12,54.81,40
1002,5,2,10,0,0.12,56.15,20
1003,5,2,11,0,0.25,52.69,20
1003,5,2,11,1,0.0,55.45,16
